fpr,tpr,thresholds,auc,ews,scale
0.1,0.92,0.6322344322344322,0.9775999999999999,Lag-1 AC,0.9
0.11,0.93,0.6043956043956044,0.9775999999999999,Lag-1 AC,0.9
0.11,0.94,0.6024420024420024,0.9775999999999999,Lag-1 AC,0.9
0.12,0.94,0.5892551892551893,0.9775999999999999,Lag-1 AC,0.9
0.12,0.96,0.577045177045177,0.9775999999999999,Lag-1 AC,0.9
0.13,0.96,0.5667887667887668,0.9775999999999999,Lag-1 AC,0.9
0.13,0.97,0.5247863247863247,0.9775999999999999,Lag-1 AC,0.9
0.15,0.97,0.5145299145299145,0.9775999999999999,Lag-1 AC,0.9
0.15,0.99,0.5062271062271062,0.9775999999999999,Lag-1 AC,0.9
0.39,0.99,0.1736263736263736,0.9775999999999999,Lag-1 AC,0.9
0.39,1.0,0.1628815628815628,0.9775999999999999,Lag-1 AC,0.9
0.41,1.0,0.1345543345543345,0.9775999999999999,Lag-1 AC,0.9
0.43,1.0,0.1115995115995116,0.9775999999999999,Lag-1 AC,0.9
0.55,1.0,-0.1028083028083028,0.9775999999999999,Lag-1 AC,0.9
0.57,1.0,-0.1213675213675213,0.9775999999999999,Lag-1 AC,0.9
0.59,1.0,-0.1409035409035409,0.9775999999999999,Lag-1 AC,0.9
0.61,1.0,-0.1985347985347985,0.9775999999999999,Lag-1 AC,0.9
1.0,1.0,-0.8940170940170941,0.9775999999999999,Lag-1 AC,0.9
0.0,0.0,inf,0.9775,DL bif,1.0
0.0,0.01,0.9991431811589999,0.9775,DL bif,1.0
0.0,0.74,0.49144235717,0.9775,DL bif,1.0
0.01,0.74,0.487478470714,0.9775,DL bif,1.0
0.01,0.84,0.4629046551,0.9775,DL bif,1.0
0.02,0.84,0.45429844289999993,0.9775,DL bif,1.0
0.02,0.85,0.44583359638,0.9775,DL bif,1.0
0.03,0.85,0.44565849649999995,0.9775,DL bif,1.0
0.03,0.9,0.41380134744,0.9775,DL bif,1.0
0.04,0.9,0.40719032276999995,0.9775,DL bif,1.0
0.04,0.93,0.38579250287000005,0.9775,DL bif,1.0
0.12,0.93,0.330333486,0.9775,DL bif,1.0
0.12,0.94,0.32363399484000005,0.9775,DL bif,1.0
0.16,0.94,0.2658681012,0.9775,DL bif,1.0
0.16,0.96,0.25562407344,0.9775,DL bif,1.0
0.19,0.96,0.23603311846,0.9775,DL bif,1.0
0.19,0.97,0.22429065407,0.9775,DL bif,1.0
0.28,0.97,0.1912755655,0.9775,DL bif,1.0
0.28,0.98,0.18609462053000003,0.9775,DL bif,1.0
0.42,0.98,0.13322027749999998,0.9775,DL bif,1.0
0.42,0.99,0.13184005822,0.9775,DL bif,1.0
0.53,0.99,0.10894204369999999,0.9775,DL bif,1.0
0.53,1.0,0.10891656092,0.9775,DL bif,1.0
1.0,1.0,0.02515937773,0.9775,DL bif,1.0
0.0,0.0,inf,0.7752,Variance,1.0
0.0,0.01,0.9242979242979242,0.7752,Variance,1.0
0.0,0.15,0.8114774114774115,0.7752,Variance,1.0
0.01,0.15,0.8036630036630036,0.7752,Variance,1.0
0.01,0.16,0.8031746031746031,0.7752,Variance,1.0
0.02,0.16,0.8012210012210012,0.7752,Variance,1.0
0.02,0.17,0.7914529914529914,0.7752,Variance,1.0
0.02,0.19,0.7836385836385836,0.7752,Variance,1.0
0.02,0.2,0.7797313797313797,0.7752,Variance,1.0
0.04,0.2,0.7655677655677656,0.7752,Variance,1.0
0.04,0.29,0.7367521367521367,0.7752,Variance,1.0
0.05,0.3,0.7338217338217338,0.7752,Variance,1.0
0.05,0.32,0.7274725274725274,0.7752,Variance,1.0
0.06,0.32,0.6971916971916972,0.7752,Variance,1.0
0.06,0.33,0.6796092796092796,0.7752,Variance,1.0
0.09,0.33,0.6595848595848596,0.7752,Variance,1.0
0.09,0.34,0.6468864468864468,0.7752,Variance,1.0
0.1,0.34,0.6449328449328449,0.7752,Variance,1.0
0.1,0.39,0.6229548229548229,0.7752,Variance,1.0
0.11,0.39,0.6219780219780219,0.7752,Variance,1.0
0.11,0.41,0.6102564102564102,0.7752,Variance,1.0
0.12,0.41,0.6083028083028083,0.7752,Variance,1.0
0.12,0.49,0.5531135531135531,0.7752,Variance,1.0
0.13,0.49,0.5477411477411478,0.7752,Variance,1.0
0.13,0.56,0.4627594627594627,0.7752,Variance,1.0
0.14,0.56,0.4539682539682539,0.7752,Variance,1.0
0.14,0.57,0.4466422466422466,0.7752,Variance,1.0
0.16,0.57,0.4432234432234432,0.7752,Variance,1.0
0.18,0.57,0.4319902319902319,0.7752,Variance,1.0
0.18,0.6,0.4046398046398046,0.7752,Variance,1.0
0.19,0.6,0.3973137973137973,0.7752,Variance,1.0
0.19,0.61,0.387057387057387,0.7752,Variance,1.0
0.2,0.61,0.3865689865689866,0.7752,Variance,1.0
0.2,0.62,0.3831501831501832,0.7752,Variance,1.0
0.21,0.62,0.3816849816849816,0.7752,Variance,1.0
0.21,0.65,0.3665445665445665,0.7752,Variance,1.0
0.22,0.65,0.3621489621489621,0.7752,Variance,1.0
0.22,0.69,0.3196581196581196,0.7752,Variance,1.0
